Ingredients,Allergy name,Allergens
"sugar, margarine [palm oil, water, soybean oil, salt, vegetable mono & diglycerides, soy lecithin, sodium benzoate (preservative), citric acid, natural and artificial flavor, beta carotene (color), vitamin a palmitate, whey], eggs, wheat flour, invert sugar, water, cream filling [water, sugar, modified foods starch, palm oil, salt, glucono delta lactone, titanium dioxide, methylhydroxypropylcellulsoe, potassium sorbate and potassium benzoate (preservatives) natural and artificial flavors fd&c yellow 5, and yellow 6], soybean oil, natural and artificial flavors [water, ethyl alcohol, polysorbate 80), corn starch, fruit juice (grape, apple, pear), natural grain dextrin, egg whites, wheat flour (bleached), artificial colors [eater, propylene glycol, glycerine, potassium sorbate (preservative), fd&c red 40, blue 1], glycerin guar & xanthan gums,powdered sugar [dextrose, corn starch, vegetables shortenning (palm oil), titanium dioxide, natural and artificial flavor], salt, egg whites (dried), cocoa (processed with alkali), egg yolks (fried), baking powder [sodium acid pyrophosphate, sodium bicarbonate, cornstarch, monocalcium phosphate], nonfat dry milk, wheat gluten, baking soda, locust bean gum, cellulose fiber, vegetable shortening [canola and/or palm oil], potassium sorbate (preservative), oat fiber, camola oil, soy protein isolate, sunflower/safflower oil, soy lecithin, gum [gum acacia, corn starch, ammonium and calcium alginate].","dairy allergy, egg allergy, lactose intolerance, soy allergy, wheat allergy","eggs, milk, soy, wheat"
"cream cheese [cultured cream and milk, salt, xanthan, carob cream and guar gums], sugar, citric canola and/or palm oil, margarine [palm oil, water, soybean oil, salt, natural flavor (milk), soy lecithin, beta carotene (color), vitamin a palmitate], whole","dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"cream cheese [cultured cream and milk, salt, xanthan gum, carob bean and guar gums], sugar, strawberry filling [water, sugar, strawberries, modified corn starch, salt, erythorbic acid, potassium sorbate (preservative), calcium carrageenan, artificial flavor.","dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"sugar, mango filling [fructose, mango puree, water, sugar, passion fruit puree, modified food starch, glucose, natural and artificial flavors, locust bean gum, citric acid, potassium sorbate (preservative), erythorbic acid, salt, fd&c yellow 5 & 6], eggs,",egg allergy,eggs
"sugar, mixed berry filling [sugar, water, strawberry puree, blueberries, raspberry puree, modified food starch, natural and artificial flavors, locust bean gum, citric acid, salt, potassium sorbate (preservative), fd&c red 40 and blue 1], eggs, wheat flour.","egg allergy, wheat allergy","eggs, wheat"
"sugar, orange flavored filling [water, cream cheese (pasteurized nonfat milk and cream, cheese culture, whey protein concentrate, salt, xanthan, carob bean, and guar gums), sugar, glucose, modified food starch, palm oil, soybean oil, cultured non-fat dry","dairy allergy, soy allergy, wheat allergy","milk, soy, wheat"
"cream cheese [cultured cream and milk, salt, xanthan, carob bean and guar gums], sugar, cream filling [water, sugar, modified food starch, palm oil, salt, glucono delta lactone, titanium dioxide, methylhydroxypropylcellulose, potassium sorbate and potassium","dairy allergy, soy allergy (uncommon)","milk, soy"
"milk, palm oil, sugar, whole wheat flour strawberry filling [water, sugar, strawberries, modified corn starch, salt, erythorbic acid, potassium sorbate (preservative), calcium carrageenan, artificial flavor, fd&c red 40 & blue 1], margarine [palm oil, wat","dairy allergy, soy allergy (uncommon), wheat allergy","milk, soy, wheat"
"cream cheese [cultured cream and milk, salt, xanthan, carob bean and guar gums], sugar, margarine [palm oil, water, soybean oil, salt, natural flavor (milk), soy lecithin, beta carotene (color), vitamin a palmitate], milk, canola and/or palm oil, whole wheat","dairy allergy, soy allergy (uncommon), wheat allergy","milk, soy, wheat"
"cream cheese [cultured cream and milk, salt, xanthan, carob bean and and guar gums], sugar, milk, palm oil, whole wheat flour, sour cream [cream, water, non-fat milk solids, starch (modified), guar gum, locust bean gum, carrageenan, disodium phosphate, so","corn allergy (uncommon), dairy allergy, egg allergy, lactose intolerance, soy allergy, wheat allergy","corn, eggs, milk, soy, wheat"
"cream cheese [cultured cream and milk, salt, xanthan, carob bean and guar gums], sugar, strawberry filling [water, sugar, strawberries, modified corn starch, salt, erythorbic acid, potassium sorbate (preservative), calcium carrageenan, artificial flavor,","corn allergy (uncommon), dairy allergy, lactose intolerance","corn, milk"
"cream cheese [cultured cream and milk, salt, xanthan, carob bean and guar gums], sugar, fruit fillings [peaches, raspberries, mangos, strawberries, lemons, blueberries (water, sugar, fructose, dextrose, mango puree, passion fruit puree, lemon puree, apples, modified corn starch, palm oil, glucose, natural and artificial flavors, locust bean gum, sodium citrate, malic acid, citric acid, salt, erythorbic acid, sorbic acid, agar agar, potassium sorbate and sodium benzoate (preservatives), calcium carrageenan, fd&c yellow 5 & 6, red 40, blue 1)], whole wheat flour, margarine [palm oil, water, soybean oil salt, natural flavor (milk), soy lecithin, beta carotene (color), vitamin a palmitate], milk, canola and/or palm oil, sour cream [cultured milk, cream, enzymes], wheat flour, soybean oil, corn starch, eggs 9fried), invert sugar, modified corn starch, natural flavor, salt, lemon juice, invert sugar, molasses and caramel color, xantahan gum, locust bean fum, guar gum, lime juice, baking soda, cinnamom, citric acid, artificial color [fd7c yellow 5 and blue 1, propylene glycol], apocarotenal (color).","corn allergy (uncommon), dairy allergy, egg allergy, lactose intolerance, soy allergy, wheat allergy","corn, eggs, milk, soy, wheat"
"cream cheese [cultured cream and milk, salt, xanthan, carob bean and guar gums], sugar, whole wheat flour, margarine [palm oil, water, soybean oil, salt, natural flavor (milk), soy lecithin, beta carotene (color), vitamin a palmitate], sour cream [culture","dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"cream cheese [cultured cream and milk, salt, xanthan, carob bean and guar gums], sugar, milk, canola and/or palm oil, cream [cream (milk), xanthan gum, carageenan], graham crumb [enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, rib","dairy allergy, lactose intolerance, wheat allergy","milk, wheat"
"cream cheese [cultured cream and milk, salt, xanthan, carob bean and guar gums], sugar, caramel spread [milk, sugar, glucose, sodium bicarbonate, potassium sorbate (preservative)], milk, canola and/or palm oil, cream [cream (milk), xanthan gum, carageenan","dairy allergy, lactose intolerance",milk
"sugar, eggs, wheat flour, invert sugar, margarine [palm oil, water, soybean oil, salt, natural flavor (milk), soy lecithin, beta carotene (color), vitamin a palmitate], water, soybean oil, cream filling [water, sugar, modified food starch, palm oil, salt,","dairy allergy, egg allergy, lactose intolerance, soy allergy, wheat allergy","eggs, milk, soy, wheat"
"sugar, eggs, wheat flour (bleached), margarine [palm oil, water, soybean oil, salt, natural flavor (milk), soy lecithin, beta carotene (color), vitamin a palmitate], water, invert sugar, canola oil, brown sugar, applesauce [apples, water, ascorbic acid],","dairy allergy, egg allergy, lactose intolerance, soy allergy, wheat allergy","eggs, milk, soy, wheat"
"cream cheese [cultured cream and milk, salt, xanthan, carob bean and guar gums], sugar, milk, canola and/or palm oil, margarine [palm oil, water, soybean oil, salt, natural flavor (milk), soy lecithin, beta carotene (color), vitamin a palmitate], whole wheat","dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"cream cheese [cultured cream and milk, salt, xanthan, carob bean and guar gums], sugar, whole wheat flour, margarine [palm oil, water, soybean oil, salt, natural flavor (milk), soy lecithin, beta carotene (color), vitamin a palmitate], milk, canola and/or","dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"wild caught salmon, seafood stuffing (wheat flour, imitation crab {fish protein, water, wheat/corn/tapioca starch, egg whites, soybean oil, crab flavor, natural crab extract, sugar, salt, calcium carbonate, carmine, and paprika}, water, onion, shrimp","egg allergy, fish allergy, shellfish allergy, soy allergy, wheat allergy","egg, fish, shellfish, soy, wheat"
"flounder, spinach artichoke seafood stuffing (imitation crab (fish protein, water, wheat/corn/tapioca starch, egg whites, soybean oil, crab flavor, natural crab extract, sugar, salt, calcium carbonate), spinach, pasteurized milk and cream, creamer [water,","dairy allergy, egg allergy, fish allergy, lactose intolerance, shellfish allergy, soy allergy, wheat allergy","egg, fish, milk, shellfish, soy, wheat"
"tilapia, crab mix (crabmeat, onion, bleached wheat flour, soybean oil, celery, water), shrimp, bread crumbs (enriched flour {flour, malted barley, niacin [a ""b"" vitamin], ferrous sulfate, thiamine mononitrate [b1], riboflavin [b2], folic acid}, high fructose","fish allergy, lactose intolerance, shellfish allergy, soy allergy, wheat allergy","fish, shellfish, soy, wheat"
"cod. seafood mix (imitation crab {fish protein, water, wheat/corn/tapioca starch, egg whites, soybean oil, crab flavor, natural crab extract, sugar, salt, calcium carbonate, carmine, and paprika}, bleached wheat flour, creamer {water, palm oil, corn syrup","fish allergy, lactose intolerance, shellfish allergy, soy allergy, wheat allergy","fish, shellfish, soy, wheat"
"shrimp (salt, sodium tripolyphosphate [to retain moisture]), fully cooked applewood smoked bacon (cured with water, salt, sugar, natural smoke flavor, sodium phosphate, sodium erythorbate, sodium nitrite), spice blend (salt, sugar, garlic, maltodextrin","shellfish allergy, soy allergy","shrimp, soy"
"imitation crab (fish protein, water, wheat/corn/tapioca starch, egg whites, soybean oil, crab flavor, natural crab extract, sugar, salt, calcium carbonate, carmine, and paprika), bread crumbs (wheat flour, yeast, evaporated cane juice, sea salt), creamer","egg allergy, fish allergy (uncommon), soy allergy, wheat allergy","egg, fish, soy, wheat"
"jalapeno peppers, water, vinegar, carrots, salt, onions, canola oil, sugar, spices and garlic.",none,none
"indian (purple) corn prepared with, water, salt, citric acid and hydrated lime to enhance flavor.",none,none
"holy basil, spearmint, peppermint, indian sarsaparilla, licorice, ginger, marshmallow flower, cinnamon, malabar nut, hyssop, long pepper (pippali), turmeric.",none,none
"pork lung 32%, beef fat 25%, oatmeal 19%, pork stock (water, pork lung, pork heart), pork heart 1.5%, salt, dried onions, ground spices (white pepper, pimentoes, mace, nutmeg, coriander, black pepper), rapeseed oil",oat allergy (uncommon),oats
"popcorn, canola, oil, vinegar powder (ip maltodextrin, white distilled vinegar), spice, evaporated cane sugar, chili powder, garlic powder, salt.",none,none
"popcorn, chili picante seasoning (tomato, whey, salt, cheddar cheese [pasteurized milk, cheese cultures, salt, enzymes], dehydrated onion, spices, chili pepper [including jalapeno], buttermilk, dehydrated garlic, torula yeast, extractives of paprika, natu","dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
"popcorn, canola oil, sea salt and butter seasoning (natural flavors, whey, sea salt, maltodextrin, sour cream (cultured cream, nonfat milk], extractives of annatto), sea salt.","dairy allergy, lactose intolerance, soy allergy","milk, soy"
"popcorn, canola oil, asiago ranch seasoning (buttermilk, natural flavors, maltodextrin, salt, dextrose, dehydrated garlic, cheddar cheese [pasteurized milk, cheese cultures, salt, enzymes], whey, spices, malic acid, citric acid, lactic acid, natural disod","dairy allergy, lactose intolerance, soy allergy","milk, soy"
"potatoes, vegetable oil (may contain cottonseed, canola, corn sunflower or safflower oils), red chili seasoning (spice, salt, chili pepper, dehydrated garlic), salt.",none,none
"potatoes, vegetable oil (may contain cottonseed, canola, corn, sunflower or safflower oils), seasoning (spices, tomato, salt, sugar, paprika, sodium diacetate, dextrose, dehydrated garlic, dehydrated onion, citric acid, extractives of paprika, natural fla",none,none
"potatoes, vegetable oil (may contain cottonseed, canola, corn,sunflower or safflower oils), seasoning (spices, tomato, salt, sugar, paprika, sodium diacetate, dextrose, dehydrated garlic, dehydrated onion, citric acid, extractives of paprika, natural flav",none,none
"potatoes, vegetable oil (may contain cottonseed, canola, corn, sunflower or safflower oils), habanero chili seasoning (maltodextrin, salt, green bell pepper, dehydrated garlic, jalapeno chili pepper, habanero chili pepper, spice, white distilled vinegar),",none,none
"potatoes, vegetable oil (may contain cottonseed, canola, corn, sunflower or safflower oils), habanero chili seasoning (maltodextrin, salt, green bell pepper, dehydrated garlic, jalapeno chili pepper, habanero chili pepper, spice, white distilled vinegar),",none,none
"sugar, popcorn, dextrose, salt, and soy lecithin.",soy allergy,soy
"popcorn, sugar, dextrose, salt, soy lecithin.",soy allergy,soy
"popcorn, butter flavored corn oil (corn oil, beta carotene [added for color], natural butter flavor), salt.","corn allergy (uncommon), dairy allergy, lactose intolerance","corn, milk"
"popcorn, canola oil, cheese blend (whey, cheddar cheese [cultured milk, salt, enzymes], reduced lactose whey, maltodextrin, canola oil, salt disodium phosphate, blue cheese [cultured milk, salt, enzymes] nonfat dry milk), citric acid.","corn allergy (uncommon), dairy allergy, lactose intolerance, soy allergy","corn, milk, soy"
"blue popcorn, high oleic sunflower oil, sea salt.",none,none
"popcorn, high oleic sunflower oil, inactive yeast, sea salt, dill, onion powder, sugar, rosemary, garlic powder, celery seeds, pomegranate powder, dehydrated kale flakes, citric acid.",none,none
"red popcorn, high oleic sunflower oil, alderwood smoked sea salt.",none,none
"blue popcorn, high oleic sunflower oil, sea salt.",none,none
"sugar, mustard seed, water, honey, white wine and white distilled vinegars, white wine, wheat flour, salt, garlic, olive and soybean oils, xanthan gum, citric acid, ginger, spices, artificial and natural flavors, turmeric, paprika, calcium disodium edta (retains product freshness), annatto.","soy allergy, wheat allergy","soy, wheat"
"sugar, water, honey, mustard seed, vinegars (white wine, white distilled, red wine and balsamic), wheat flour, fruit juices (orange, tangerine and lemon), white wine, salt, oranges, soybean oil, natural flavor, xanthan gum, onions, annatto, garlic, spices, citric and tartaric acids, turmeric, ginger, calcium disodium edta (retains product freshness), paprika red chili peppers.","soy allergy, wheat allergy","soy, wheat"
"whole wheat flour, unbleached enriched wheat flour (wheat flour, vitamin c [ascorbic acid as a dough conditioner], enzyme, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, sat, wheat gluten, yeast, white distilled vinegar.",wheat allergy,wheat
"sugar, whey, nonfat dry milk, cocoa powder (dutch process), creamer (coconut oil, corn syrup solids, sodium caseinate, dipotassium phosphate), natural & artificial flavors, guar gum, salt.","dairy allergy, soy allergy","milk, soy"
"sugar, nonfat dry milk, whey, creamer (coconut oil, com syrup solids, sodium caseionate, dipotassum phosphate), maltodextrin, natural and artificial flavores, guar gum, fd&c red#3.","dairy allergy, soy allergy","milk, soy"
"sugar, cocoa powder (dutch process), whey, natural & artificial flavors, nonfat dry milk, creamer (coconut oil, corn syrup solids, sodium caseinate, dipotassium phosphate), salt, guar gum.","coconut allergy, dairy allergy, soy allergy","coconut, milk, soy"
"sugar, whey [milk], nonfat dry milk, cocoa powder [dutch process], creamer coconut oil, corn syrup solids, sodium caseinate, dipotassium phosphate], natural and artificial flavor, salt, guar gum.","coconut allergy, dairy allergy, soy allergy","coconut, milk, soy"
"sugar, whey, nonfat dry milk, cocoa powder (dutch process), creamer (coconut oil, corn syrup solids, sodium caseinate, dipotassium phosphate), natural and artificial flavor, salt, guar gum.","coconut allergy, dairy allergy, soy allergy","coconut, milk, soy"
"sugar, whey [milk], nonfat dry milk, cocoa powder [dutch process], creamer [coconut oil, corn syrup, solids, sodium caseinate, dipotassium phosphate), natural and artificial flavor, salt, guar gum.","coconut allergy, dairy allergy, soy allergy","coconut, milk, soy"
"sugar, whey, nonfat dry milk, cocoa powder (dutch process), creamer (coconut oil, corn syrup solids, sodium caseinate, dipotassium phosphate), natural & artificial flavors, guar gum, salt.","coconut allergy, dairy allergy, soy allergy","coconut, milk, soy"
"sugar, canola oil, corn syrup solids, whey (milk), tea, natural & artificial flavors, tri-calcium phosphate.","dairy allergy, soy allergy","milk, soy"
"sugar, whey, nonfat dry milk, cocoa powder (dutch process), non dairy creamer (canola or coconut oil, corn syrup solids), natural & artificial flavors, guar gum, salt.","dairy allergy, soy allergy","milk, soy"
"sugar, whey, nonfat dry milk, cocoa powder (dutch process), creamer (coconut oil, corn syrup solids, sodium caseinate, dipotassium phosphate), natural & artificial flavors, guar gum, salt.","dairy allergy, soy allergy","milk, soy"
"sugar, whey, nonfat dry milk, cocoa powder (dutch process), creamer (coconut oil, corn syrup solids, sodium caseinate, dipotassium phosphate), natural & artificial flavors, guar gum, salt.","dairy allergy, soy allergy","milk, soy"
"sugar, whey, nonfat dry milk, cocoa powder (dutch process), creamer (coconut oil, corn syrup solids, sodium caseinate, dipotassium phosphate), natural & artificial flavors, guar gum, salt.","dairy allergy, soy allergy","milk, soy"
"sugar, whey, nonfat dry milk, cocoa powder (dutch process), creamer (coconut oil, corn syrup solids, sodium caseinate, dipotassium phosphate), natural and artificial flavor, salt, guar gum.","dairy allergy, soy allergy","milk, soy"
"sugar, maltodextrin, citric acid, natural and artificial flavor, tricalcium phosphate, fd & c yellow #5, f d & c blue #1.",none,none
"sugar, maltodextrin, natural and artificial flavor, citric acid, tricalcium phosphate, beet powder. fd & c red #40, f d & c blue #1.",none,none
"sugar, maltodextrin, natural and artificial flavor, citric acid, beet powder, tricalcium phosphate, beta carotene, fd & c red # 40.",none,none
"sugar, nonfat dry milk, creamer (coconut oil, cornsyrup solids, sodium caseinate, dipotassium phosphate), whey, maltodextrin, natural and artificial flavor, guar gum.","dairy allergy, soy allergy","milk, soy"
"sugar, cocoa powder (dutch process), whey, non dairy creamer (coconut or canola oil, corn syrup solids), nonfat dry milk, natural and artificial flavor, salt, guar gum.","dairy allergy, soy allergy","milk, soy"
"sugar, whey, nonfat dry milk, cocoa powder (dutch process), creamer (coconut oil, corn syrup solids, sodium caseinate, dipotassium phosphate), natural & artificial flavors, guar gum, salt.","coconut allergy (uncommon), dairy allergy, soy allergy","coconut, milk, soy"
"sugar, creamer (coconut oil, corn syrup solids, sodium caseinate, dipotassium phosphate), whey instant coffee, natural and artificial flavor, cocoa powder (dutch process), tricalcium phosphate.","coconut allergy (uncommon), dairy allergy, soy allergy","coconut, milk, soy"
"water, sugar, gelatin, citric acid, natural and artificial favor, sodium citrate, salt, sodium benzoate, (a preservative), red #40, yellow #5, yellow #6, blue #1.",none,none
"water, peaches, corn syrup, gelatin, less than 1% of: citric acid, salt, natural and artificial flavors, sodium citrate. potassium sorbate (maintains freshness), aspartame* acesulfame potassium, ascorbic acid (vitamin c), red #40, yellow #6, blue #1.",none,none
"milk, water, sugar, modified food starch, cocoa (processed with alkali), less than 1% of: salt, gelatin, artificial flavor, potassium sorbate to maintain freshness, carrageenan.","dairy allergy, lactose intolerance",milk
"pure water, aloe vera juice (aloe vera pulp, water), cane sugar, calcium lactate, citric acid, malic acid, sodium citric, sodium erythorbate, gellan gum, acesulfame potassium, stevia, b-carotene,pineapple flavor.",none,none
"pure water, aloe vera juice (aloe vera pulp, water), cane sugar, calcium lactate, citric acid, malic acid, sodium citrate, sodium erythorbate, gellan gum, acesulfame potassium, stevia, white grape flavor.",none,none
"corn, corn oil or coconut oil, water, salt, lime.",corn allergy,corn
"corn, corn oil or coconut oil or vegetable oil, water, lime.",none,none
"corn, corn oil, coconut oil, or vegetable or, water, salt, lime.",none,none
"peanuts, vegetable oil (peanut and/or sunflower seed).",peanut allergy,peanuts
honey,none,none
"corn syrup; sugar; vegetable oil (cocoa butter, palm, shea, sunflower and/or safflower oil); dextrose; nonfat milk; reduced protein whey (milk); chocolate; contains 2% or less of: brown sugar; whey (milk); mono and diglycerides; sodium bicarbonate; milk f","dairy allergy, lactose intolerance",milk
sugar; corn syrup; partially hydrogenated palm kernel oil; whey (milk); malted milk (barley malt; wheat flour; milk; salt; sodium bicarbonate); cocoa; contains 2% or less of: resinous glaze; sorbitan tristearate; soy lecithin; salt; natural and artificial,"dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
sugar; corn syrup; partially hydrogenated palm kernel oil; whey (_milk_); cocoa; contains 2% or less of: malted _milk_ (barley malt; _wheat_ flour; _milk_; salt; sodium bicarbonate); resinous glaze; sorbitan tristearate; _soy_ lecithin; salt; natural and artificial flavors; calcium carbonate; tapioca dextrin.,"dairy allergy, lactose intolerance, soy allergy, wheat allergy","milk, soy, wheat"
milk chocolate,"dairy allergy, lactose intolerance",milk
"milk chocolate (sugar; cocoa butter; chocolate; nonfat milk; milk fat; lactose; salt; soy lecithin; vanillin, artificial flavor); sugar; palm oil; dairy butter (milk); almonds (roasted in cocoa butter and/or sunflower oil); contains 2% or less of: salt; a","dairy allergy, lactose intolerance, nut allergy, soy allergy","milk, nuts (almonds), soy"
"milk chocolate (sugar; cocoa butter; chocolate; nonfat milk; milk fat; lactose; salt; soy lecithin; vanillin, artificial flavor); sugar; palm oil; dairy butter (milk); almonds (roasted in cocoa butter and/or sunflower oil); contains 2% or less of: salt; a","dairy allergy, lactose intolerance, nut allergy, soy allergy","almonds, milk, soy"
"milk chocolate (sugar; cocoa butter; chocolate; nonfat milk; milk fat; lactose; salt; soy lecithin; vanillin, artificial flavor); sugar; palm oil; dairy butter (milk); almonds (roasted in cocoa butter and/or sunflower oil); contains 2% or less of: salt; a","dairy allergy, lactose intolerance, nut allergy, soy allergy","almonds, milk, soy"
"milk chocolate (sugar; cocoa butter; chocolate; nonfat milk; milkfat; lactose; salt; soy lecithin; vanillin, artificial flavor); sugar; palm oil; dairy butter (milk); almonds (roasted in cocoa butter and/or sunflower oil); contains 2% or less of: salt; ar","dairy allergy, lactose intolerance, nut allergy, soy allergy","almonds, milk, soy"
sugar; dextrose; whey (milk); partially hydrogenated palm kernel oil; corn syrup; cocoa; malted milk (barley malt; wheat flour; milk; salt; sodium bicarbonate); contains 2% or less of: tapioca dextrin; soy lecithin; artificial color (red 40 lake; blue 1 l,"barley allergy, dairy allergy, lactose intolerance, soy allergy, wheat allergy","barley, milk, soy, wheat"
sugar; corn syrup; partially hydrogenated palm kernel oil; whey (milk); cocoa; malted milk (barley malt; wheat flour; milk; salt; sodium bicarbonate); contains 2% or less of: sorbitan tristerate; soy lecithin; salt; resinous glaze; natural and artificial,"barley allergy, dairy allergy, lactose intolerance, soy allergy, wheat allergy","barley, milk, soy, wheat"
sugar; corn syrup; enriched wheat flour [flour; niacin; ferrous sulfate; thiamin mononitrate; riboflavin; folic acid]; contains 2% or less of: licorice extract; gum acacia; cornstarch; salt; natural and artificial flavors; rice starch; artificial color [k,wheat allergy,wheat
dextrose; sugar; corn syrup; partially hydrogenated palm kernel oil; whey (milk); cocoa; malted milk (barley malt; wheat flour; milk; salt; sodium bicarbonate); contains 2% or less of: tapioca dextrin; artificial color (red 40 lake; blue1 lake; yellow 5 l,"dairy allergy, wheat allergy","milk, wheat"
sugar; partially hydrogenated palm kernel oil; corn syrup; whey (milk); malted milk [barley malt; wheat flour; milk; salt; baking soda]; hydrogenated palm kernel oil; confectioner's glaze; sorbitan tristearate; lecithin (soy); artificial color; cocoa; nat,"dairy allergy, soy allergy, wheat allergy","milk, soy, wheat"
"corn syrup, sugar, vegetable oil (cocoa butter, palm, shea, sunflower and/or safflower oil); dextrose; nonfat milk; reduced protein whey (milk); chocolate; contains 2% or less of: brown sugar; whey (milk); mono and diglycerides; sodium bicarbonate; milk f","dairy allergy, soy allergy, wheat allergy","milk, soy, wheat"
sugar; corn syrup; partially hydrogenated palm kernel oil; whey (milk); malted milk (barley malt; wheat flour; milk; salt; sodium bicarbonate); cocoa; contains 2% or less of; resinous glaze; sorbitan tristearate; soy lecithin; salt; natural and artificial,"barley allergy, dairy allergy, lactose intolerance, soy allergy, wheat allergy","barley, milk, soy, wheat"
sugar; corn syrup; enriched wheat flour [flour; naicin; ferrous sulfate; thiamin mononitrate; riboflavin; folic acid]; contains 2% or less of: licorice extract; gum acacia; cornstarch; salt; natural and artificial flavors; rice starch; artificial color [k,wheat allergy,wheat
"milk chocolate (sugar; cocoa butter: chocolate; nonfat milk; milk fat; lactose; salt; soy lecithin; vanillin, artificial flavor); sugar; palm oil; dairy butter (milk); almonds (roasted in cocoa butter and/or sunflower oil); contains 2% or less of: salt; a","dairy allergy, nut allergy (specifically almond), soy allergy","almonds, milk, soy"
"self-rising enriched flour bleached ((wheat flour, leavening (sodium aluminum phosphate, baking soda, calcium sulfate, monocalcium phosphate), salt, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid)) and sugar.","gluten intolerance, wheat allergy",wheat
"self-rising enriched flour bleached ((wheat flour, leavening (sodium aluminum phosphate, baking soda, calcium sulfate, monocalcium phosphate), salt, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid)), sugar, chgeddar cheese p","dairy allergy, gluten intolerance, wheat allergy","milk, wheat"
"sugar, unbleached wheat flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), cocoa and chocolate chips (sugar, chocolate liquor, cocoa butter, butterfat, soy lecithin added as an emulsifier and vanilla).","dairy allergy, soy allergy, wheat allergy","milk, soy, wheat"
"sugar, unbleached wheat flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), cocoa, white confectionery baking chips ((sugar, palm kernel oil, nonfat milk powder, whole milk powder, whey powder, palm oil, so","dairy allergy, soy allergy, wheat allergy","milk, soy, wheat"
"sugar, unbleached wheat flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), cocoa, english toffee ((sugar, brown sugar, glucose, margarine (liquid and partially hydrogenated soybean oil, water, salt, whey s","dairy allergy, soy allergy, wheat allergy","milk, soy, wheat"
"sugar, unbleached wheat flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), cocoa, cornstarch, dried cherries (red tart cherries, sugar) and natural and artificial flavoring.","dairy allergy, soy allergy, wheat allergy","milk, soy, wheat"
"organic grade a pasteurized _milk_, organic pasteurized _cream_, organic nonfat pasteurized _milk_, organic strawberries (organic cane sugar, organic strawberries, pectin, organic locust bean gum, natural flavor, organic fruit & vegetable juice (color), citric acid), organic cane sugar, pectin, organic corn starch, live active cultures.","dairy allergy, soy allergy, wheat allergy","milk, soy, wheat"
"filling: cabbage, chicken, green onions, carrots, evaporated cane juice, expeller pressed vegetable oil (soybean and/or canola), organic whole wheat flour, contains less than 2% of the following: salt, ginger, expeller pressed sesame seed oil, garlic, spice, wrapper: water, organic wheat flour, expeller pressed vegetable oil (soybean and/or canola), evaporated cane juice, salt, fried in expeller pressed vegetable oil (soybean and/or canola). sauce: water, evaporated cane juice, tomato paste, rice vinegar, corn starch, soy sauce (water, soybeans, wheat, salt), salt, citric acid, natural flavors.","garlic allergy, sesame allergy, soy allergy, wheat allergy","garlic, sesame, soy, wheat"
"filling: cabbage, vermicelli (green mung beans, water), carrots, shiitake mushrooms (shiitake mushrooms, water), contains less than 2% of: green onions, sesame seed oil, garlic, spices, corn starch, autolyzed yeast extract, evaporated cane syrup, salt, vegetable oil soybean and/or canola). wrapper: water, wheat flour, vegetable oil (soybean and/or canola), evaporated cane syrup, contains less than 2% of: soy lecithin, xanthan gum, salt. prefried in vegetable oil (soybean and/or cottonseed)., sauce: water, dehydrated cane syrup, rice vinegar, red chili pepper (contains salt, acetic acid, calcium chloride), garlic (garlic juice, dehydrated garlic, salt, phosphoric acid), salt, chili pepper flakes, dehydrated red bell pepper, dehydrated garlic, corn starch, xanthan gum, citric acid.","garlic allergy, sesame allergy, soy allergy, wheat allergy","garlic, sesame, soy, wheat"
"pecans, sugar (white & brown), non-dairy creamer, partially hydrogenated soybean oil, corn syrup solids, sodium caseinate, dipotassium phosphate, mono & diglycerides, sodium steroyl lacrylate, salt, sodium calcium alginate, artificial flavor, spice, caram","dairy allergy, lactose intolerance, pecan allergy, soy allergy","milk (from sodium caseinate), pecans, soy"
"pecans, sugar (white & brown), non-dairy creamer, partially hydrogenated soybean oil, corn syrup solids, sodium caseinate, dipotassium phosphate, mono & diglycerides, sodium steroyl lacrylate, salt, sodium calcium alginate, artificial flavor, spice, caram","dairy allergy, lactose intolerance, pecan allergy, soy allergy","milk (from sodium caseinate), pecans, soy"
"milk chocolate (sugar, cocoa butter, milk, chocolate liquor, lecithin and artificial flavor, vanilla), pecans, and certified confectioners glaze (gum arabic, corn syrup and sugar)","dairy allergy, pecan allergy, soy allergy","milk, pecans, soy"
